school,sport,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,attendance,rank,gametime
michigan,basketball,2014-03-01,REG,Minnesota,Big Ten,W,66,56,,21,7,W 3,Crisler Arena,0.0,16,
michigan,basketball,2014-03-04,REG,Illinois,Big Ten,W,84,53,,22,7,W 4,Assembly Hall,0.0,12,
michigan,basketball,2014-03-08,REG,Indiana,Big Ten,W,84,80,,23,7,W 5,Crisler Arena,0.0,12,
michigan,basketball,2014-03-14,CTOURN,Illinois,Big Ten,W,64,63,,24,7,W 6,Conseco Fieldhouse,0.0,8,
michigan,basketball,2014-03-15,CTOURN,Ohio State (24),Big Ten,W,72,69,,25,7,W 7,,0.0,8,
michigan,basketball,2014-03-16,CTOURN,Michigan State (22),Big Ten,L,55,69,,25,8,L 1,Conseco Fieldhouse,0.0,8,
michigan,basketball,2014-03-20,NCAA,Wofford,Southern,W,57,40,,26,8,W 1,Bradley Center,0.0,,
michigan,basketball,2014-03-22,NCAA,Texas,Big 12,W,79,65,,27,8,W 2,Bradley Center,0.0,,
michigan,basketball,2014-03-28,NCAA,Tennessee,SEC,W,73,71,,28,8,W 3,Lucas Oil Stadium,0.0,,
michigan,basketball,2014-03-30,NCAA,Kentucky,SEC,L,72,75,,28,9,L 1,Lucas Oil Stadium,0.0,,
michigan,basketball,2014-11-15,REG,Hillsdale,,W,92,68,,1,0,W 1,Crisler Arena,0.0,24,2:00p
michigan,basketball,2014-11-17,REG,Bucknell,Patriot,W,77,53,,2,0,W 2,Crisler Arena,0.0,24,8:00p
michigan,basketball,2014-11-20,REG,Detroit Mercy,Horizon,W,71,62,,3,0,W 3,Crisler Arena,0.0,24,6:00p
michigan,basketball,2014-11-24,REG,Oregon,Pac-12,W,70,63,,4,0,W 4,Barclays Center,0.0,19,9:45p
michigan,basketball,2014-11-25,REG,Villanova (12),Big East,L,55,60,,4,1,L 1,Barclays Center,0.0,19,10:15p
michigan,basketball,2014-11-29,REG,Nicholls State,Southland,W,91,62,,5,1,W 1,Crisler Arena,0.0,19,4:00p
michigan,basketball,2014-12-02,REG,Syracuse,ACC,W,68,65,,6,1,W 2,Crisler Arena,0.0,17,7:30p
michigan,basketball,2014-12-06,REG,NJIT,Ind,L,70,72,,6,2,L 1,Crisler Arena,0.0,17,12:00p
michigan,basketball,2014-12-09,REG,Eastern Michigan,MAC,L,42,45,,6,3,L 2,Crisler Arena,0.0,-,9:00p
michigan,basketball,2014-12-13,REG,Arizona (3),Pac-12,L,53,80,,6,4,L 3,McKale Center,0.0,-,5:15p
michigan,basketball,2014-12-20,REG,Southern Methodist,AAC,L,51,62,,6,5,L 4,Crisler Arena,0.0,-,12:00p
michigan,basketball,2014-12-22,REG,Coppin State,MEAC,W,72,56,,7,5,W 1,Crisler Arena,0.0,-,8:00p
michigan,basketball,2014-12-30,REG,Illinois,Big Ten,W,73,65,OT,8,5,W 2,Crisler Arena,0.0,-,3:00p
michigan,basketball,2015-01-03,REG,Purdue,Big Ten,L,51,64,,8,6,L 1,Mackey Arena,0.0,-,2:15p
michigan,basketball,2015-01-06,REG,Penn State,Big Ten,W,73,64,,9,6,W 1,Bryce Jordan Center,0.0,-,7:00p
michigan,basketball,2015-01-10,REG,Minnesota,Big Ten,W,62,57,,10,6,W 2,Crisler Arena,0.0,-,1:00p
michigan,basketball,2015-01-13,REG,Ohio State,Big Ten,L,52,71,,10,7,L 1,Value City Arena,0.0,-,7:00p
michigan,basketball,2015-01-17,REG,Northwestern,Big Ten,W,56,54,,11,7,W 1,Crisler Arena,0.0,-,8:15p
michigan,basketball,2015-01-20,REG,Rutgers,Big Ten,W,54,50,,12,7,W 2,Louis Brown Athletic Center,0.0,-,6:30p
michigan,basketball,2015-01-24,REG,Wisconsin (6),Big Ten,L,64,69,OT,12,8,L 1,Crisler Arena,0.0,-,7:00p
michigan,basketball,2015-01-27,REG,Nebraska,Big Ten,W,58,44,,13,8,W 1,Crisler Arena,0.0,-,7:00p
michigan,basketball,2015-02-01,REG,Michigan State,Big Ten,L,66,76,OT,13,9,L 1,Breslin Events Center,0.0,-,1:00p
michigan,basketball,2015-02-05,REG,Iowa,Big Ten,L,54,72,,13,10,L 2,Crisler Arena,0.0,-,7:00p
michigan,basketball,2015-02-08,REG,Indiana,Big Ten,L,67,70,,13,11,L 3,Assembly Hall,0.0,-,1:00p
michigan,basketball,2015-02-12,REG,Illinois,Big Ten,L,52,64,OT,13,12,L 4,State Farm Center,0.0,-,9:00p
michigan,basketball,2015-02-17,REG,Michigan State,Big Ten,L,67,80,,13,13,L 5,Crisler Arena,0.0,-,9:00p
michigan,basketball,2015-02-22,REG,Ohio State (24),Big Ten,W,64,57,,14,13,W 1,Crisler Arena,0.0,-,1:00p
michigan,basketball,2015-02-28,REG,Maryland (14),Big Ten,L,56,66,,14,14,L 1,Xfinity Center,0.0,-,12:00p
michigan,basketball,2015-03-03,REG,Northwestern,Big Ten,L,78,82,2OT,14,15,L 2,Welsh-Ryan Arena,0.0,-,9:00p
michigan,basketball,2015-03-07,REG,Rutgers,Big Ten,W,79,69,,15,15,W 1,Crisler Arena,0.0,-,2:15p
michigan,basketball,2015-03-12,CTOURN,Illinois,Big Ten,W,73,55,,16,15,W 2,United Center,0.0,-,12:00p
michigan,basketball,2015-03-13,CTOURN,Wisconsin (6),Big Ten,L,60,71,,16,16,L 1,United Center,0.0,-,12:00p
michigan,basketball,2015-11-13,REG,Northern Michigan,,W,70,44,,1,0,W 1,Crisler Arena,0.0,25,7:00p
michigan,basketball,2015-11-16,REG,Elon,CAA,W,88,68,,2,0,W 2,Crisler Arena,0.0,24,7:00p
