game_id,school,sport,game_dt,season_type,opponent,result,team_points,opp_points,ot,rank,opponent_rank,end_inc_window,attendance
739,michigan state,basketball,,regular,Boise State,W,74,70,,15,,,
740,michigan state,basketball,,regular,Oakland,W,70,52,,15,,,
741,michigan state,basketball,,regular,Louisiana,W,63,60,,15,,,
742,michigan state,basketball,,regular,Miami (FL),L,59,67,,13,,,
743,michigan state,basketball,,regular,Nicholls State,W,84,39,,13,,,
744,michigan state,basketball,,regular,Arkansas-Pine Bluff,W,76,44,,19,,,
745,michigan state,basketball,,regular,Loyola (IL),W,73,61,,19,,,
746,michigan state,basketball,,regular,Tuskegee,W,92,56,,19,,,
747,michigan state,basketball,,regular,Bowling Green State,W,64,53,,20,,,
748,michigan state,basketball,,regular,Texas,W,67,56,,20,,,
749,michigan state,basketball,,regular,Minnesota (9),L,63,76,,18,9.0,,
750,michigan state,basketball,,regular,Purdue,W,84,61,,18,,,
751,michigan state,basketball,,regular,Iowa,W,62,59,,22,,,
752,michigan state,basketball,,regular,Nebraska,W,66,56,,22,,,
753,michigan state,basketball,,regular,Penn State,W,81,72,,18,,,
754,michigan state,basketball,,regular,Ohio State (11),W,59,56,,18,11.0,,
755,michigan state,basketball,,regular,Wisconsin,W,49,47,,13,,,
756,michigan state,basketball,,regular,Indiana (7),L,70,75,,13,7.0,,
757,michigan state,basketball,,regular,Illinois,W,80,75,,13,,,
758,michigan state,basketball,,regular,Minnesota (18),W,61,50,,12,18.0,,
759,michigan state,basketball,,regular,Purdue,W,78,65,,12,,,
760,michigan state,basketball,,regular,Michigan (4),W,75,52,,8,4.0,,
761,michigan state,basketball,,regular,Nebraska,W,73,64,,8,,,
762,michigan state,basketball,,regular,Indiana (1),L,68,72,,4,1.0,,
763,michigan state,basketball,,regular,Ohio State (18),L,60,68,,4,18.0,,
764,michigan state,basketball,,regular,Michigan (4),L,57,58,,9,4.0,,
765,michigan state,basketball,,regular,Wisconsin (22),W,58,43,,10,22.0,,
766,michigan state,basketball,,regular,Northwestern,W,71,61,,10,,,
767,michigan state,basketball,,CTOURN,Iowa,W,59,56,,8,,,
768,michigan state,basketball,,CTOURN,Ohio State (10),L,58,61,,8,10.0,,
769,michigan state,basketball,,NCAA,Valparaiso,W,65,54,,,,,
770,michigan state,basketball,,NCAA,Memphis (19),W,70,48,,,19.0,,
771,michigan state,basketball,,NCAA,Duke (6),L,61,71,,,6.0,,
772,michigan state,basketball,,regular,McNeese State,W,98,56,,2,,,
773,michigan state,basketball,,regular,Kentucky (1),W,78,74,,2,1.0,,
774,michigan state,basketball,,regular,Columbia,W,62,53,,2,,,
775,michigan state,basketball,,regular,Portland,W,82,67,,1,,,
776,michigan state,basketball,,regular,Virginia Tech,W,96,77,,1,,,
777,michigan state,basketball,,regular,Oklahoma,W,87,76,,1,,,
778,michigan state,basketball,,regular,Mount St. Mary's,W,98,65,,1,,,
779,michigan state,basketball,,regular,North Carolina,L,65,79,,1,,,
780,michigan state,basketball,,regular,Oakland,W,67,63,,5,,,
781,michigan state,basketball,,regular,North Florida,W,78,48,,5,,,
782,michigan state,basketball,,regular,Texas,W,92,78,,5,,,
783,michigan state,basketball,,regular,New Orleans,W,101,48,,5,,,
784,michigan state,basketball,,regular,Penn State,W,79,63,,5,,,
785,michigan state,basketball,,regular,Indiana,W,73,56,,5,,,
786,michigan state,basketball,,regular,Ohio State (3),W,72,68,OT,5,3.0,,
787,michigan state,basketball,,regular,Minnesota,W,87,75,OT,5,,,
