INCIDENT_DATE,INCIDENT_HOUR,INCIDENT_ID,OFFENSE_ID,OFFENSE_NAME,AGENCY_ID,Day,School,SEASON
2009-10-20 23:00:00,23:00:00,50955442,55764785,Theft From Building,9040,1,michigan,Fall
2009-11-03 09:00:00,9:00:00,50955495,55767572,Theft From Building,9040,1,michigan,Fall
2009-04-29 07:00:00,7:00:00,50952490,55757328,Theft From Building,9040,2,michigan,Spring
2009-08-13 16:00:00,16:00:00,50953582,55756826,Destruction/Damage/Vandalism of Property,9040,3,michigan,Summer
2009-11-06 16:00:00,16:00:00,50956340,55766046,Theft From Building,9040,4,michigan,Fall
2009-12-05 05:00:00,5:00:00,50956425,55769799,Drug/Narcotic Violations,9040,5,michigan,Fall
2009-01-30 11:00:00,11:00:00,50950544,55761938,Theft From Building,9040,4,michigan,Winter
2009-03-17 07:00:00,7:00:00,50951505,55756019,Simple Assault,9040,1,michigan,Winter
2009-09-13 20:00:00,20:00:00,50954495,55764422,All Other Larceny,9040,6,michigan,Summer
2009-01-30 18:00:00,18:00:00,50950547,55756534,Theft From Building,9040,4,michigan,Winter
2009-03-22 18:00:00,18:00:00,50951530,55757297,Burglary/Breaking & Entering,9040,6,michigan,Spring
2009-05-27 18:00:00,18:00:00,50952559,55757338,Theft From Motor Vehicle,9040,2,michigan,Spring
2009-03-28 12:00:00,12:00:00,50952560,55761992,Theft From Motor Vehicle,9040,5,michigan,Spring
2009-06-29 13:00:00,13:00:00,50953463,55772114,Theft From Building,9040,0,michigan,Summer
2009-07-13 15:00:00,15:00:00,50953511,55772127,Destruction/Damage/Vandalism of Property,9040,0,michigan,Summer
2009-08-10 13:00:00,13:00:00,50953563,55762021,Theft From Building,9040,0,michigan,Summer
2009-01-13 18:00:00,18:00:00,50949682,55761929,Theft From Building,9040,1,michigan,Winter
2009-03-05 19:00:00,19:00:00,50950652,55756007,Embezzlement,9040,3,michigan,Winter
2009-07-24 06:00:00,6:00:00,50953531,55772129,Theft From Motor Vehicle,9040,4,michigan,Summer
2009-08-05 09:00:00,9:00:00,50953549,55756820,Theft From Building,9040,2,michigan,Summer
2009-01-20 12:00:00,12:00:00,50949700,55759739,Theft From Building,9040,1,michigan,Winter
2009-07-05 13:00:00,13:00:00,50953475,55766753,Destruction/Damage/Vandalism of Property,9040,6,michigan,Summer
2009-12-07 22:00:00,22:00:00,50956435,55766062,Theft From Building,9040,0,michigan,Fall
2009-12-21 21:00:00,21:00:00,50957301,55756901,Theft From Building,9040,0,michigan,Winter
2009-01-12 20:00:00,20:00:00,50949677,55755981,Theft From Building,9040,0,michigan,Winter
2009-01-24 16:00:00,16:00:00,50949724,55763561,Destruction/Damage/Vandalism of Property,9040,5,michigan,Winter
2009-04-17 23:00:00,23:00:00,50951629,55756078,All Other Larceny,9040,4,michigan,Spring
2009-06-11 19:00:00,19:00:00,50952604,55756806,Theft From Building,9040,3,michigan,Spring
2009-08-19 12:00:00,12:00:00,50954450,55767532,Theft From Building,9040,2,michigan,Summer
2009-10-25 08:00:00,8:00:00,50956407,55764812,Theft From Building,9040,6,michigan,Fall
2009-10-09 15:00:00,15:00:00,50955405,55764436,All Other Larceny,9040,4,michigan,Fall
2009-11-03 23:00:00,23:00:00,50955515,55764452,Theft From Building,9040,1,michigan,Fall
2009-12-16 20:00:00,20:00:00,50956479,55756899,Theft From Building,9040,2,michigan,Fall
2009-01-08 22:00:00,22:00:00,50949661,55771271,Theft From Building,9040,3,michigan,Winter
2009-02-08 17:00:00,17:00:00,50950586,55761948,Motor Vehicle Theft,9040,6,michigan,Winter
2009-02-16 10:00:00,10:00:00,50950596,55763569,Theft From Building,9040,0,michigan,Winter
2009-04-17 12:00:00,12:00:00,50951646,55757315,Theft From Building,9040,4,michigan,Spring
2009-06-21 05:00:00,5:00:00,50953444,55763987,Simple Assault,9040,6,michigan,Summer
2009-07-25 01:00:00,1:00:00,50953529,55763648,All Other Larceny,9040,5,michigan,Summer
2009-09-25 17:00:00,17:00:00,50954551,55778182,Theft From Building,9040,4,michigan,Fall
2009-10-12 11:00:00,11:00:00,50955415,55769017,Destruction/Damage/Vandalism of Property,9040,0,michigan,Fall
2009-10-22 07:00:00,7:00:00,50955473,55756871,Theft From Building,9040,3,michigan,Fall
2009-10-30 12:00:00,12:00:00,50955476,55756873,Shoplifting,9040,4,michigan,Fall
2009-05-02 15:00:00,15:00:00,50952494,55756044,Simple Assault,9040,5,michigan,Spring
2009-05-23 11:00:00,11:00:00,50952549,55756055,Theft From Building,9040,5,michigan,Spring
2009-06-02 20:00:00,20:00:00,50952576,55757341,Theft From Motor Vehicle,9040,1,michigan,Spring
2009-11-02 12:00:00,12:00:00,50955488,55766033,Simple Assault,9040,0,michigan,Fall
2009-11-04 06:00:00,6:00:00,50955506,55766038,Destruction/Damage/Vandalism of Property,9040,2,michigan,Fall
2009-06-10 00:00:00,0:00:00,50952623,55766749,Destruction/Damage/Vandalism of Property,9040,2,michigan,Spring
2009-07-01 23:00:00,23:00:00,50953468,55772115,Theft From Building,9040,2,michigan,Summer
2009-10-15 08:00:00,8:00:00,50955439,55778192,Theft From Building,9040,3,michigan,Fall
2009-11-18 22:00:00,22:00:00,50956376,55778213,Theft From Building,9040,2,michigan,Fall
2009-02-18 13:00:00,13:00:00,50950603,55755290,Theft From Building,9040,2,michigan,Winter
2009-02-26 03:00:00,3:00:00,50950636,55756548,Theft From Building,9040,3,michigan,Winter
2009-04-03 22:00:00,22:00:00,50951581,55763592,Theft From Motor Vehicle,9040,4,michigan,Spring
2009-04-09 15:00:00,15:00:00,50951605,55756075,Theft From Building,9040,3,michigan,Spring
2009-07-27 09:00:00,9:00:00,50953530,55762014,All Other Larceny,9040,0,michigan,Summer
2009-10-30 23:00:00,23:00:00,50955481,55764448,Destruction/Damage/Vandalism of Property,9040,4,michigan,Fall
2009-01-05 09:00:00,9:00:00,50949654,55761923,Theft From Building,9040,0,michigan,Winter
2009-02-25 15:00:00,15:00:00,50950627,55761956,Theft From Building,9040,2,michigan,Winter
2009-04-27 11:00:00,11:00:00,50952474,55757320,Simple Assault,9040,0,michigan,Spring
2009-04-04 11:00:00,11:00:00,50951582,55763593,Theft From Building,9040,5,michigan,Spring
2009-04-24 14:00:00,14:00:00,50951658,55766729,Theft From Building,9040,4,michigan,Spring
2009-07-31 08:00:00,8:00:00,50953540,55762017,All Other Larceny,9040,4,michigan,Summer
2009-08-27 08:00:00,8:00:00,50954425,55756833,Theft From Building,9040,3,michigan,Summer
2009-10-03 19:00:00,19:00:00,50955386,55778188,Shoplifting,9040,5,michigan,Fall
2009-10-15 15:00:00,15:00:00,50955428,55756865,Destruction/Damage/Vandalism of Property,9040,3,michigan,Fall
2009-11-04 12:00:00,12:00:00,50955511,55766039,Theft From Building,9040,2,michigan,Fall
2009-04-26 15:00:00,15:00:00,50952495,55766734,Simple Assault,9040,6,michigan,Spring
2009-09-29 14:00:00,14:00:00,50955373,55757387,Theft From Building,9040,1,michigan,Fall
2009-11-08 02:00:00,2:00:00,50956330,55766044,Destruction/Damage/Vandalism of Property,9040,6,michigan,Fall
2009-11-09 19:00:00,19:00:00,50956343,55769030,Destruction/Damage/Vandalism of Property,9040,0,michigan,Fall
2009-11-25 12:00:00,12:00:00,50956399,55764811,Theft From Building,9040,2,michigan,Fall
2009-12-15 14:00:00,14:00:00,50956467,55768811,Theft From Building,9040,1,michigan,Fall
2009-01-23 13:00:00,13:00:00,50949712,55756523,Drug/Narcotic Violations,9040,4,michigan,Winter
2009-01-27 14:00:00,14:00:00,50949729,55755279,Theft From Building,9040,1,michigan,Winter
2009-08-01 00:00:00,0:00:00,50954461,55767535,Theft From Building,9040,5,michigan,Summer
2009-09-18 23:00:00,23:00:00,50954550,55778181,Intimidation,9040,4,michigan,Summer
2009-01-09 00:00:00,0:00:00,50949664,55761925,Theft From Building,9040,4,michigan,Winter
2009-01-14 16:00:00,16:00:00,50949688,55756520,Simple Assault,9040,2,michigan,Winter
2009-11-09 07:00:00,7:00:00,50956403,55778218,Theft From Motor Vehicle,9040,0,michigan,Fall
2009-12-02 21:00:00,21:00:00,50956412,55764461,Theft From Building,9040,2,michigan,Fall
2009-12-16 21:00:00,21:00:00,50956480,55767592,Destruction/Damage/Vandalism of Property,9040,2,michigan,Fall
2009-02-10 20:00:00,20:00:00,50950574,55761947,Theft From Building,9040,1,michigan,Winter
2009-03-19 14:00:00,14:00:00,50951520,55756057,Theft From Building,9040,3,michigan,Winter
2009-07-20 14:00:00,14:00:00,50953534,55766757,False Pretenses/Swindle/Confidence Game,9040,0,michigan,Summer
2009-08-17 14:00:00,14:00:00,50954398,55764407,Drug/Narcotic Violations,9040,0,michigan,Summer
2009-10-08 14:00:00,14:00:00,50955398,55764028,Theft of Motor Vehicle Parts or Accessories,9040,3,michigan,Fall
2009-11-07 12:00:00,12:00:00,50955521,55778202,Theft From Building,9040,5,michigan,Fall
2009-11-17 12:00:00,12:00:00,50956369,55756885,All Other Larceny,9040,1,michigan,Fall
2009-01-28 19:00:00,19:00:00,50949735,55755992,Theft From Building,9040,2,michigan,Winter
2009-01-17 18:00:00,18:00:00,50950556,55772041,Theft From Building,9040,5,michigan,Winter
2009-02-25 17:00:00,17:00:00,50951645,55766728,Theft From Building,9040,2,michigan,Winter
2009-02-06 16:00:00,16:00:00,50950569,55756537,Arson,9040,4,michigan,Winter
2009-05-13 15:00:00,15:00:00,50952527,55757333,Theft From Building,9040,2,michigan,Spring
2009-05-12 08:00:00,8:00:00,50952537,55772090,Theft From Motor Vehicle,9040,1,michigan,Spring
2009-11-21 01:00:00,1:00:00,50956379,55769036,Drug/Narcotic Violations,9040,5,michigan,Fall
2009-11-19 18:00:00,18:00:00,50956397,55756888,All Other Larceny,9040,3,michigan,Fall
2009-12-16 15:00:00,15:00:00,50956476,55764821,Theft From Building,9040,2,michigan,Fall
2009-01-22 18:00:00,18:00:00,50949710,55755277,Theft From Building,9040,3,michigan,Winter
2009-03-03 14:00:00,14:00:00,50950642,55772050,Aggravated Assault,9040,1,michigan,Winter
2009-05-31 12:00:00,12:00:00,50952575,55766743,False Pretenses/Swindle/Confidence Game,9040,6,michigan,Spring
2009-08-17 11:00:00,11:00:00,50953589,55757368,Drug/Narcotic Violations,9040,0,michigan,Summer
2009-09-09 22:00:00,22:00:00,50954482,55767537,Theft From Building,9040,2,michigan,Summer
2009-01-06 05:00:00,5:00:00,50949652,55755977,Theft From Motor Vehicle,9040,1,michigan,Winter
2009-02-09 06:00:00,6:00:00,50950570,55761945,Destruction/Damage/Vandalism of Property,9040,0,michigan,Winter
2009-02-26 14:00:00,14:00:00,50950628,55761957,Theft From Building,9040,3,michigan,Winter
2009-03-29 12:00:00,12:00:00,50951574,55772067,Theft From Building,9040,6,michigan,Spring
2009-05-01 11:00:00,11:00:00,50952491,55761985,Theft From Building,9040,4,michigan,Spring
2009-09-15 23:00:00,23:00:00,50954504,55756847,All Other Larceny,9040,1,michigan,Summer
2009-10-16 22:00:00,22:00:00,50955503,55756878,Theft From Building,9040,4,michigan,Fall
2009-01-08 17:00:00,17:00:00,50949662,55761924,Motor Vehicle Theft,9040,3,michigan,Winter
2009-02-20 16:00:00,16:00:00,50950625,55772049,Theft From Building,9040,4,michigan,Winter
2009-03-25 00:00:00,0:00:00,50951600,55772071,All Other Larceny,9040,2,michigan,Spring
2009-07-16 20:00:00,20:00:00,50953503,55772125,Theft From Motor Vehicle,9040,3,michigan,Summer
2009-08-05 13:00:00,13:00:00,50953548,55756819,All Other Larceny,9040,2,michigan,Summer
2009-10-08 12:00:00,12:00:00,50955402,55757391,Theft From Building,9040,3,michigan,Fall
2009-12-08 19:00:00,19:00:00,50956443,55766066,Drug/Narcotic Violations,9040,1,michigan,Fall
2009-03-18 12:00:00,12:00:00,50951577,55756069,Theft From Building,9040,2,michigan,Winter
2009-06-09 18:00:00,18:00:00,50952609,55772104,All Other Larceny,9040,1,michigan,Spring
2009-08-15 21:00:00,21:00:00,50953585,55764004,Aggravated Assault,9040,5,michigan,Summer
2009-08-18 17:00:00,17:00:00,50954411,55766768,Theft From Building,9040,1,michigan,Summer
2009-09-01 00:00:00,0:00:00,50954511,55762039,Destruction/Damage/Vandalism of Property,9040,1,michigan,Summer
2009-12-07 22:00:00,22:00:00,50956436,55764466,Theft From Building,9040,0,michigan,Fall
2009-01-28 21:00:00,21:00:00,50949736,55755993,Theft From Building,9040,2,michigan,Winter
2009-06-14 03:00:00,3:00:00,50952614,55763981,Burglary/Breaking & Entering,9040,6,michigan,Spring
2009-10-29 20:00:00,20:00:00,50955489,55756877,Theft From Building,9040,3,michigan,Fall
2009-12-07 07:00:00,7:00:00,50956433,55778223,Shoplifting,9040,0,michigan,Fall
2009-01-11 22:00:00,22:00:00,50949669,55763553,Simple Assault,9040,6,michigan,Winter
2009-01-12 04:00:00,4:00:00,50949671,55755271,Destruction/Damage/Vandalism of Property,9040,0,michigan,Winter
2009-09-22 18:00:00,18:00:00,50954541,55767551,All Other Larceny,9040,1,michigan,Fall
