game_id,school,sport,start_dt,season_type,opponent,result,team_points,opp_points,ot,rank,opponent_rank,end_inc_window,attendance,venue,excitement_index,incident_id,offense_id,offense_name,incident_date
541,michigan,basketball,2017-03-01 19:00:00,regular,northwestern,0,65,67,0,-,,2017-03-02 05:00:00,,,,93506338.0,115987513.0,Theft From Building,2017-03-01 20:00:00
825,michigan-state,basketball,2015-01-08 19:00:00,regular,iowa,1,75,61,0,-,,2015-01-09 05:00:00,,,,,,,
68,michigan,football,2014-11-01 15:30:00,regular,indiana,1,34,10,0,,,2014-11-02 01:30:00,103111.0,Michigan Stadium,1.489488031,74955923.0,81999912.0,All Other Larceny,2014-11-01 17:00:00
68,michigan,football,2014-11-01 15:30:00,regular,indiana,1,34,10,0,,,2014-11-02 01:30:00,103111.0,Michigan Stadium,1.489488031,74955919.0,81997989.0,Drug/Narcotic Violations,2014-11-01 23:00:00
68,michigan,football,2014-11-01 15:30:00,regular,indiana,1,34,10,0,,,2014-11-02 01:30:00,103111.0,Michigan Stadium,1.489488031,74955918.0,81997988.0,Simple Assault,2014-11-01 17:00:00
68,michigan,football,2014-11-01 15:30:00,regular,indiana,1,34,10,0,,,2014-11-02 01:30:00,103111.0,Michigan Stadium,1.489488031,74955920.0,82008527.0,All Other Larceny,2014-11-02 01:00:00
71,michigan,football,2014-11-29 12:00:00,regular,ohio state,0,28,42,0,,6.0,2014-11-29 23:00:00,108610.0,Ohio Stadium,3.2622351416,,,,
106,michigan,football,2017-11-18 12:00:00,regular,wisconsin,0,10,24,0,24.0,5.0,2017-11-18 23:00:00,81216.0,Camp Randall Stadium,5.8503318544,94399102.0,117000854.0,Drug/Narcotic Violations,2017-11-18 23:00:00
260,michigan state,football,2019-10-05 19:30:00,regular,ohio state,0,10,34,0,25.0,4.0,2019-10-06 06:30:00,104797.0,Ohio Stadium,1.2566887765,,,,
567,michigan,basketball,2018-01-09 21:00:00,regular,purdue (5),0,69,70,0,-,5.0,2018-01-10 07:00:00,,,,,,,
525,michigan,basketball,2017-01-01 14:15:00,regular,iowa,0,83,86,1,-,,2017-01-02 00:15:00,,,,98394906.0,121596409.0,Embezzlement,2017-01-01 17:00:00
525,michigan,basketball,2017-01-01 14:15:00,regular,iowa,0,83,86,1,-,,2017-01-02 00:15:00,,,,88828984.0,110639060.0,False Pretenses/Swindle/Confidence Game,2017-01-01 23:00:00
525,michigan,basketball,2017-01-01 14:15:00,regular,iowa,0,83,86,1,-,,2017-01-02 00:15:00,,,,88828984.0,110639057.0,Extortion/Blackmail,2017-01-01 23:00:00
