,school,sport,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,attendance,rank,gametime,Game String,US State,start_dt,opponent_rank,end_inc_window
54,michigan,basketball,2011-02-03,REG,Ohio State (1),Big Ten,L,53,62,,13,10,L 1,Value City Arena,0.0,-,,Ohio State on February 3 7:00 PM,OHIO,2011-02-03 19:00:00,1,2011-02-04 05:00:00
55,michigan,basketball,2011-02-06,REG,Penn State,Big Ten,W,65,62,,14,10,W 1,Bryce Jordan Center,0.0,-,,Penn State on February 6 12:00 PM,PA.,2011-02-06 12:00:00,,2011-02-06 22:00:00
56,michigan,basketball,2011-02-09,REG,Northwestern,Big Ten,W,75,66,,15,10,W 2,Crisler Arena,0.0,-,,Northwestern on February 9 6:30 PM,MICH.,2011-02-09 18:30:00,,2011-02-10 04:30:00
57,michigan,basketball,2011-02-12,REG,Indiana,Big Ten,W,73,69,,16,10,W 3,Crisler Arena,0.0,-,,Indiana on February 12 4:00 PM,MICH.,2011-02-12 16:00:00,,2011-02-13 02:00:00
58,michigan,basketball,2011-02-16,REG,Illinois,Big Ten,L,52,54,,16,11,L 1,Assembly Hall,0.0,-,,Illinois on February 16 7:30 PM,ILL.,2011-02-16 20:30:00,,2011-02-17 06:30:00
59,michigan,basketball,2011-02-19,REG,Iowa,Big Ten,W,75,72,OT,17,11,W 1,Carver-Hawkeye Arena,0.0,-,,Iowa on February 19 3:30 PM,IOWA,2011-02-19 16:30:00,,2011-02-20 02:30:00
60,michigan,basketball,2011-02-23,REG,Wisconsin (12),Big Ten,L,52,53,,17,12,L 1,Crisler Arena,0.0,-,,Wisconsin on February 23 6:30 PM,MICH.,2011-02-23 18:30:00,12,2011-02-24 04:30:00
61,michigan,basketball,2011-02-26,REG,Minnesota,Big Ten,W,70,63,,18,12,W 1,Williams Arena,0.0,-,,Minnesota on February 26 3:30 PM,MINN.,2011-02-26 16:30:00,,2011-02-27 02:30:00
62,michigan,basketball,2011-03-05,REG,Michigan State,Big Ten,W,70,63,,19,12,W 2,Crisler Arena,0.0,-,,Michigan State on March 5 2:00 PM,MICH.,2011-03-05 14:00:00,,2011-03-06 00:00:00
63,michigan,basketball,2011-03-11,CTOURN,Illinois,Big Ten,W,60,55,,20,12,W 3,,0.0,-,,Illinois (#5) on March 11 2:30 PM,IND.,2011-03-11 14:30:00,,2011-03-12 00:30:00
64,michigan,basketball,2011-03-12,CTOURN,Ohio State (1),Big Ten,L,61,68,,20,13,L 1,,0.0,-,,Ohio State (#1) on March 12 1:40 PM,IND.,2011-03-12 13:40:00,1,2011-03-12 23:40:00
65,michigan,basketball,2011-03-18,NCAA,Tennessee,SEC,W,75,45,,21,13,W 1,Times Warner Cable Arena,0.0,,,Tennessee (#9) on March 18 12:40 PM,N.C.,2011-03-18 12:40:00,,2011-03-18 22:40:00
66,michigan,basketball,2011-03-20,NCAA,Duke (3),ACC,L,71,73,,21,14,L 1,Times Warner Cable Arena,0.0,,,Duke (#1) on March 20 2:45 PM,N.C.,2011-03-20 14:45:00,3,2011-03-21 00:45:00
67,michigan,basketball,2011-11-11,REG,Ferris State,,W,59,33,,1,0,W 1,Crisler Arena,0.0,18,,Ferris State on November 11 7:00 PM,MICH.,2011-11-11 19:00:00,,2011-11-12 05:00:00
68,michigan,basketball,2011-11-14,REG,Towson,CAA,W,64,47,,2,0,W 2,Crisler Arena,0.0,17,,Towson on November 14 8:30 PM,MICH.,2011-11-14 20:30:00,,2011-11-15 06:30:00
69,michigan,basketball,2011-11-17,REG,Western Illinois,Summit,W,59,55,,3,0,W 3,Crisler Arena,0.0,17,,Western Illinois on November 17 8:30 PM,MICH.,2011-11-17 20:30:00,,2011-11-18 06:30:00
70,michigan,basketball,2011-11-21,REG,Memphis (8),CUSA,W,73,61,,4,0,W 4,Lahaina Civic Center,0.0,15,,Memphis on November 21 10:00 AM,HAWAII,2011-11-21 16:00:00,8,2011-11-22 02:00:00
71,michigan,basketball,2011-11-22,REG,Duke (6),ACC,L,75,82,,4,1,L 1,,0.0,15,,Duke on November 22 2:00 PM,HAWAII,2011-11-22 20:00:00,6,2011-11-23 06:00:00
72,michigan,basketball,2011-11-23,REG,UCLA,Pac-12,W,79,63,,5,1,W 1,,0.0,15,,UCLA on November 23 2:30 PM,HAWAII,2011-11-23 20:30:00,,2011-11-24 06:30:00
73,michigan,basketball,2011-11-29,REG,Virginia,ACC,L,58,70,,5,2,L 1,John Paul Jones Arena,0.0,14,,Virginia on November 29 7:00 PM,VA.,2011-11-29 19:00:00,,2011-11-30 05:00:00
74,michigan,basketball,2011-12-03,REG,Iowa State,Big 12,W,76,66,,6,2,W 1,Crisler Arena,0.0,14,,Iowa State on December 3 12:00 PM,MICH.,2011-12-03 12:00:00,,2011-12-03 22:00:00
75,michigan,basketball,2011-12-10,REG,Oakland,Summit,W,90,80,,7,2,W 2,,0.0,20,,Oakland on December 10 4:00 PM,MICH.,2011-12-10 16:00:00,,2011-12-11 02:00:00
76,michigan,basketball,2011-12-13,REG,Arkansas-Pine Bluff,SWAC,W,63,50,,8,2,W 3,Crisler Arena,0.0,20,,Arkansas-Pine Bluff on December 13 7:00 PM,MICH.,2011-12-13 19:00:00,,2011-12-14 05:00:00
77,michigan,basketball,2011-12-17,REG,Alabama A&M,SWAC,W,87,57,,9,2,W 4,Crisler Arena,0.0,20,,Alabama A&M on December 17 12:00 PM,MICH.,2011-12-17 12:00:00,,2011-12-17 22:00:00
78,michigan,basketball,2011-12-22,REG,Bradley,MVC,W,77,66,,10,2,W 5,Crisler Arena,0.0,20,,Bradley on December 22 6:30 PM,MICH.,2011-12-22 18:30:00,,2011-12-23 04:30:00
79,michigan,basketball,2011-12-29,REG,Penn State,Big Ten,W,71,53,,11,2,W 6,Crisler Arena,0.0,18,,Penn State on December 29 7:30 PM,MICH.,2011-12-29 19:30:00,,2011-12-30 05:30:00
80,michigan,basketball,2012-01-01,REG,Minnesota,Big Ten,W,61,56,,12,2,W 7,Crisler Arena,0.0,18,,Minnesota on January 1 4:00 PM,MICH.,2012-01-01 16:00:00,,2012-01-02 02:00:00
81,michigan,basketball,2012-01-05,REG,Indiana (12),Big Ten,L,71,73,,12,3,L 1,Assembly Hall,0.0,16,,Indiana on January 5 9:00 PM,IND.,2012-01-05 21:00:00,12,2012-01-06 07:00:00
82,michigan,basketball,2012-01-08,REG,Wisconsin (18),Big Ten,W,59,41,,13,3,W 1,Crisler Arena,0.0,16,,Wisconsin on January 8 1:30 PM,MICH.,2012-01-08 13:30:00,18,2012-01-08 23:30:00
83,michigan,basketball,2012-01-11,REG,Northwestern,Big Ten,W,66,64,OT,14,3,W 2,Crisler Arena,0.0,13,,Northwestern on January 11 6:30 PM,MICH.,2012-01-11 18:30:00,,2012-01-12 04:30:00
84,michigan,basketball,2012-01-14,REG,Iowa,Big Ten,L,59,75,,14,4,L 1,Carver-Hawkeye Arena,0.0,13,,Iowa on January 14 12:00 PM,IOWA,2012-01-14 13:00:00,,2012-01-14 23:00:00
85,michigan,basketball,2012-01-17,REG,Michigan State (9),Big Ten,W,60,59,,15,4,W 1,Crisler Arena,0.0,20,,Michigan State on January 17 7:00 PM,MICH.,2012-01-17 19:00:00,9,2012-01-18 05:00:00
86,michigan,basketball,2012-01-21,REG,Arkansas,SEC,L,64,66,,15,5,L 1,Bud Walton Arena,0.0,20,,Arkansas on January 21 1:00 PM,ARK.,2012-01-21 14:00:00,,2012-01-22 00:00:00
87,michigan,basketball,2012-01-24,REG,Purdue,Big Ten,W,66,64,,16,5,W 1,Mackey Arena,0.0,20,,Purdue on January 24 7:00 PM,IND.,2012-01-24 19:00:00,,2012-01-25 05:00:00
88,michigan,basketball,2012-01-29,REG,Ohio State (4),Big Ten,L,49,64,,16,6,L 1,Value City Arena,0.0,20,,Ohio State on January 29 1:00 PM,OHIO,2012-01-29 13:00:00,4,2012-01-29 23:00:00
89,michigan,basketball,2012-02-01,REG,Indiana (20),Big Ten,W,68,56,,17,6,W 1,Crisler Arena,0.0,23,,Indiana on February 1 6:30 PM,MICH.,2012-02-01 18:30:00,20,2012-02-02 04:30:00
90,michigan,basketball,2012-02-05,REG,Michigan State (9),Big Ten,L,54,64,,17,7,L 1,Breslin Events Center,0.0,23,,Michigan State on February 5 1:00 PM,MICH.,2012-02-05 13:00:00,9,2012-02-05 23:00:00
91,michigan,basketball,2012-02-08,REG,Nebraska,Big Ten,W,62,46,,18,7,W 1,Bob Devaney Sports Center,0.0,22,,Nebraska on February 8 7:30 PM,NEB.,2012-02-08 20:30:00,,2012-02-09 06:30:00
92,michigan,basketball,2012-02-12,REG,Illinois,Big Ten,W,70,61,,19,7,W 2,Crisler Arena,0.0,22,,Illinois on February 12 1:00 PM,MICH.,2012-02-12 13:00:00,,2012-02-12 23:00:00
93,michigan,basketball,2012-02-18,REG,Ohio State (6),Big Ten,W,56,51,,20,7,W 3,Crisler Arena,0.0,17,,Ohio State on February 18 9:00 PM,MICH.,2012-02-18 21:00:00,6,2012-02-19 07:00:00
94,michigan,basketball,2012-02-21,REG,Northwestern,Big Ten,W,67,55,OT,21,7,W 4,Welsh-Ryan Arena,0.0,11,,Northwestern on February 21 7:00 PM,ILL.,2012-02-21 20:00:00,,2012-02-22 06:00:00
95,michigan,basketball,2012-02-25,REG,Purdue,Big Ten,L,61,75,,21,8,L 1,Crisler Arena,0.0,11,,Purdue on February 25 6:00 PM,MICH.,2012-02-25 18:00:00,,2012-02-26 04:00:00
96,michigan,basketball,2012-03-01,REG,Illinois,Big Ten,W,72,61,,22,8,W 1,Assembly Hall,0.0,13,,Illinois on March 1 6:00 PM,ILL.,2012-03-01 19:00:00,,2012-03-02 05:00:00
97,michigan,basketball,2012-03-04,REG,Penn State,Big Ten,W,71,65,,23,8,W 2,Bryce Jordan Center,0.0,13,,Penn State on March 4 1:00 PM,PA.,2012-03-04 13:00:00,,2012-03-04 23:00:00
98,michigan,basketball,2012-03-09,CTOURN,Minnesota,Big Ten,W,73,69,OT,24,8,W 3,,0.0,10,,Minnesota (#10) on March 9 6:30 PM,IND.,2012-03-09 18:30:00,,2012-03-10 04:30:00
99,michigan,basketball,2012-03-10,CTOURN,Ohio State (7),Big Ten,L,55,77,,24,9,L 1,Conseco Fieldhouse,0.0,10,,Ohio State (#3) on March 10 4:05 PM,IND.,2012-03-10 16:05:00,7,2012-03-11 02:05:00
100,michigan,basketball,2012-03-16,NCAA,Ohio,MAC,L,60,65,,24,10,L 2,Bridgestone Arena,0.0,,,Ohio (#13) on March 16 6:20 PM,TENN.,2012-03-16 18:20:00,,2012-03-17 04:20:00
101,michigan,basketball,2012-11-09,REG,Slippery Rock,,W,100,62,,1,0,W 1,Crisler Arena,0.0,5,,Slippery Rock on November 9 8:30 PM,MICH.,2012-11-09 20:30:00,,2012-11-10 06:30:00
102,michigan,basketball,2012-11-12,REG,IUPUI,Summit,W,91,54,,2,0,W 2,Crisler Arena,0.0,5,,IUPUI on November 12 9:00 PM,MICH.,2012-11-12 21:00:00,,2012-11-13 07:00:00
103,michigan,basketball,2012-11-13,REG,Cleveland State,Horizon,W,77,47,,3,0,W 3,Crisler Arena,0.0,5,,Cleveland State on November 13 8:00 PM,MICH.,2012-11-13 20:00:00,,2012-11-14 06:00:00
104,michigan,basketball,2012-11-21,REG,Pittsburgh,Big East,W,67,62,,4,0,W 4,,0.0,4,,Pittsburgh on November 21 9:30 PM,N.Y.,2012-11-21 21:30:00,,2012-11-22 07:30:00
105,michigan,basketball,2012-11-23,REG,Kansas State,Big 12,W,71,57,,5,0,W 5,Madison Square Garden (IV),0.0,4,,Kansas State on November 23 4:30 PM,N.Y.,2012-11-23 16:30:00,,2012-11-24 02:30:00
106,michigan,basketball,2012-11-27,REG,NC State (18),ACC,W,79,72,,6,0,W 6,Crisler Arena,0.0,3,,North Carolina State on November 27 7:30 PM,MICH.,2012-11-27 19:30:00,18,2012-11-28 05:30:00
107,michigan,basketball,2012-12-01,REG,Bradley,MVC,W,74,66,,7,0,W 7,Carver Arena,0.0,3,,Bradley on December 1 3:00 PM,ILL.,2012-12-01 16:00:00,,2012-12-02 02:00:00
108,michigan,basketball,2012-12-04,REG,Western Michigan,MAC,W,73,41,,8,0,W 8,Crisler Arena,0.0,3,,Western Michigan on December 4 8:30 PM,MICH.,2012-12-04 20:30:00,,2012-12-05 06:30:00
109,michigan,basketball,2012-12-08,REG,Arkansas,SEC,W,80,67,,9,0,W 9,Crisler Arena,0.0,3,,Arkansas on December 8 12:00 PM,MICH.,2012-12-08 12:00:00,,2012-12-08 22:00:00
110,michigan,basketball,2012-12-11,REG,Binghamton,AEC,W,67,39,,10,0,W 10,Crisler Arena,0.0,3,,Binghamton on December 11 7:00 PM,MICH.,2012-12-11 19:00:00,,2012-12-12 05:00:00
111,michigan,basketball,2012-12-15,REG,West Virginia,Big 12,W,81,66,,11,0,W 11,WVU Coliseum,0.0,3,,West Virginia on December 15 8:00 PM,N.Y.,2012-12-15 20:00:00,,2012-12-16 06:00:00
112,michigan,basketball,2012-12-20,REG,Eastern Michigan,MAC,W,93,54,,12,0,W 12,Crisler Arena,0.0,2,,Eastern Michigan on December 20 8:30 PM,MICH.,2012-12-20 20:30:00,,2012-12-21 06:30:00
113,michigan,basketball,2012-12-29,REG,Central Michigan,MAC,W,88,73,,13,0,W 13,Crisler Arena,0.0,2,,Central Michigan on December 29 7:00 PM,MICH.,2012-12-29 19:00:00,,2012-12-30 05:00:00
114,michigan,basketball,2013-01-03,REG,Northwestern,Big Ten,W,94,66,,14,0,W 14,Welsh-Ryan Arena,0.0,2,,Northwestern on January 3 6:00 PM,ILL.,2013-01-03 19:00:00,,2013-01-04 05:00:00
115,michigan,basketball,2013-01-06,REG,Iowa,Big Ten,W,95,67,,15,0,W 15,Crisler Arena,0.0,2,,Iowa on January 6 12:00 PM,MICH.,2013-01-06 12:00:00,,2013-01-06 22:00:00
116,michigan,basketball,2013-01-09,REG,Nebraska,Big Ten,W,62,47,,16,0,W 16,Crisler Arena,0.0,2,,Nebraska on January 9 7:00 PM,MICH.,2013-01-09 19:00:00,,2013-01-10 05:00:00
117,michigan,basketball,2013-01-13,REG,Ohio State (15),Big Ten,L,53,56,,16,1,L 1,Value City Arena,0.0,2,,Ohio State on January 13 1:30 PM,OHIO,2013-01-13 13:30:00,15,2013-01-13 23:30:00
118,michigan,basketball,2013-01-17,REG,Minnesota (9),Big Ten,W,83,75,,17,1,W 1,Williams Arena,0.0,5,,Minnesota on January 17 6:00 PM,MINN.,2013-01-17 19:00:00,9,2013-01-18 05:00:00
119,michigan,basketball,2013-01-24,REG,Purdue,Big Ten,W,68,53,,18,1,W 2,Crisler Arena,0.0,2,,Purdue on January 24 7:00 PM,MICH.,2013-01-24 19:00:00,,2013-01-25 05:00:00
120,michigan,basketball,2013-01-27,REG,Illinois,Big Ten,W,74,60,,19,1,W 3,Assembly Hall,0.0,2,,Illinois on January 27 5:00 PM,ILL.,2013-01-27 18:00:00,,2013-01-28 04:00:00
121,michigan,basketball,2013-01-30,REG,Northwestern,Big Ten,W,68,46,,20,1,W 4,Crisler Arena,0.0,1,,Northwestern on January 30 6:30 PM,MICH.,2013-01-30 18:30:00,,2013-01-31 04:30:00
122,michigan,basketball,2013-02-02,REG,Indiana (3),Big Ten,L,73,81,,20,2,L 1,Assembly Hall,0.0,1,,Indiana on February 2 9:00 PM,IND.,2013-02-02 21:00:00,3,2013-02-03 07:00:00
123,michigan,basketball,2013-02-05,REG,Ohio State (10),Big Ten,W,76,74,OT,21,2,W 1,Crisler Arena,0.0,3,,Ohio State on February 5 9:00 PM,MICH.,2013-02-05 21:00:00,10,2013-02-06 07:00:00
124,michigan,basketball,2013-02-09,REG,Wisconsin,Big Ten,L,62,65,OT,21,3,L 1,Kohl Center,0.0,3,,Wisconsin on February 9 11:00 AM,WIS.,2013-02-09 12:00:00,,2013-02-09 22:00:00
125,michigan,basketball,2013-02-12,REG,Michigan State (8),Big Ten,L,52,75,,21,4,L 2,Breslin Events Center,0.0,4,,Michigan State on February 12 9:00 PM,MICH.,2013-02-12 21:00:00,8,2013-02-13 07:00:00
