,school,sport,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,attendance,rank,gametime,Game String,US State,start_dt,opponent_rank,end_inc_window
126,michigan,basketball,2013-02-17,REG,Penn State,Big Ten,W,79,71,,22,4,W 1,Crisler Arena,0.0,4,,Penn State on February 17 12:00 PM,MICH.,2013-02-17 12:00:00,,2013-02-17 22:00:00
127,michigan,basketball,2013-02-24,REG,Illinois,Big Ten,W,71,58,,23,4,W 2,Crisler Arena,0.0,7,,Illinois on February 24 1:00 PM,MICH.,2013-02-24 13:00:00,,2013-02-24 23:00:00
128,michigan,basketball,2013-02-27,REG,Penn State,Big Ten,L,78,84,,23,5,L 1,Bryce Jordan Center,0.0,4,,Penn State on February 27 6:30 PM,PA.,2013-02-27 18:30:00,,2013-02-28 04:30:00
129,michigan,basketball,2013-03-03,REG,Michigan State (9),Big Ten,W,58,57,,24,5,W 1,Crisler Arena,0.0,4,,Michigan State on March 3 4:00 PM,MICH.,2013-03-03 16:00:00,9,2013-03-04 02:00:00
130,michigan,basketball,2013-03-06,REG,Purdue,Big Ten,W,80,75,,25,5,W 2,Mackey Arena,0.0,7,,Purdue on March 6 7:00 PM,IND.,2013-03-06 19:00:00,,2013-03-07 05:00:00
131,michigan,basketball,2013-03-10,REG,Indiana (2),Big Ten,L,71,72,,25,6,L 1,Crisler Arena,0.0,7,,Indiana on March 10 4:00 PM,MICH.,2013-03-10 16:00:00,2,2013-03-11 02:00:00
132,michigan,basketball,2013-03-14,CTOURN,Penn State,Big Ten,W,83,66,,26,6,W 1,,0.0,6,,Penn State (#12) on March 14 1:30 PM,ILL.,2013-03-14 14:30:00,,2013-03-15 00:30:00
133,michigan,basketball,2013-03-15,CTOURN,Wisconsin (22),Big Ten,L,59,68,,26,7,L 1,United Center,0.0,6,,Wisconsin (#4) on March 15 1:30 PM,ILL.,2013-03-15 14:30:00,22,2013-03-16 00:30:00
134,michigan,basketball,2013-03-21,NCAA,South Dakota State,Summit,W,71,56,,27,7,W 1,Palace of Auburn Hills,0.0,,,South Dakota State (#13) on March 21 7:15 PM,MICH.,2013-03-21 19:15:00,,2013-03-22 05:15:00
135,michigan,basketball,2013-03-23,NCAA,Virginia Commonwealth,A-10,W,78,53,,28,7,W 2,Palace of Auburn Hills,0.0,,,VCU (#5) on March 23 12:15 PM,MICH.,2013-03-23 12:15:00,,2013-03-23 22:15:00
136,michigan,basketball,2013-03-29,NCAA,Kansas (3),Big 12,W,87,85,OT,29,7,W 3,Cowboy's Stadium,0.0,,,Kansas (#1) on March 29 6:37 PM,TEXAS,2013-03-29 19:37:00,3,2013-03-30 05:37:00
137,michigan,basketball,2013-03-31,NCAA,Florida (14),SEC,W,79,59,,30,7,W 4,Cowboy's Stadium,0.0,,,Florida (#3) on March 31 1:20 PM,TEXAS,2013-03-31 14:20:00,14,2013-04-01 00:20:00
138,michigan,basketball,2013-04-06,NCAA,Syracuse (16),Big East,W,61,56,,31,7,W 5,Georgia Dome,0.0,,,Syracuse (#4) on April 6 9:21 PM,GA.,2013-04-06 21:21:00,16,2013-04-07 07:21:00
