,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,US State,start_dt
497,michigan-state,2013-03-03,REG,Michigan (4),Big Ten,L,57,58,,22,7,L 3,Crisler Arena,9,,MICHIGAN,MICH.,2013-03-03 16:00:00
498,michigan-state,2013-03-07,REG,Wisconsin (22),Big Ten,W,58,43,,23,7,W 1,Breslin Events Center,10,,WISCONSIN,MICH.,2013-03-07 21:00:00
499,michigan-state,2013-03-10,REG,Northwestern,Big Ten,W,71,61,,24,7,W 2,Breslin Events Center,10,,NORTHWESTERN,MICH.,2013-03-10 18:00:00
500,michigan-state,2013-03-15,CTOURN,Iowa,Big Ten,W,59,56,,25,7,W 3,United Center,8,,IOWA,ILL.,2013-03-15 21:00:00
501,michigan-state,2013-03-16,CTOURN,Ohio State (10),Big Ten,L,58,61,,25,8,L 1,United Center,8,,OHIO STATE,ILL.,2013-03-16 16:10:00
502,michigan-state,2013-03-21,NCAA,Valparaiso,Horizon,W,65,54,,26,8,W 1,Palace of Auburn Hills,,,VALPARAISO,MICH.,2013-03-21 12:15:00
503,michigan-state,2013-03-23,NCAA,Memphis (19),CUSA,W,70,48,,27,8,W 2,Palace of Auburn Hills,,,MEMPHIS,MICH.,2013-03-23 14:45:00
504,michigan-state,2013-03-29,NCAA,Duke (6),ACC,L,61,71,,27,9,L 1,Lucas Oil Stadium,,,DUKE,IND.,2013-03-29 21:45:00
505,michigan-state,2013-11-08,REG,McNeese State,Southland,W,98,56,,1,0,W 1,Breslin Events Center,2,,MCNEESE STATE,MICH.,2013-11-08 19:00:00
506,michigan-state,2013-11-12,REG,Kentucky (1),SEC,W,78,74,,2,0,W 2,United Center,2,,KENTUCKY (CHAMPIONS CLASSIC),ILL. (UNITED CENTER),2013-11-12 19:30:00
507,michigan-state,2013-11-15,REG,Columbia,Ivy,W,62,53,,3,0,W 3,Breslin Events Center,2,,COLUMBIA (COACHES VS. CANCER CLASSIC),MICH.,2013-11-15 21:00:00
508,michigan-state,2013-11-18,REG,Portland,WCC,W,82,67,,4,0,W 4,Breslin Events Center,1,,PORTLAND (COACHES VS. CANCER CLASSIC),MICH.,2013-11-18 19:00:00
