,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,US State,start_dt
46,michigan,1/5/2011,REG,Wisconsin,Big Ten,L,50,66,,11,4,L 1,Kohl Center,-,,Wisconsin on January 5 7:30 PM,WIS.,2011-01-05 20:30:00
47,michigan,1/9/2011,REG,Kansas (3),Big 12,L,60,67,OT,11,5,L 2,Crisler Arena,-,,Kansas on January 9 4:30 PM,MICH.,2011-01-09 16:30:00
48,michigan,1/12/2011,REG,Ohio State (2),Big Ten,L,64,68,,11,6,L 3,Crisler Arena,-,,Ohio State on January 12 6:30 PM,MICH.,2011-01-12 18:30:00
49,michigan,1/15/2011,REG,Indiana,Big Ten,L,61,80,,11,7,L 4,Assembly Hall,-,,Indiana on January 15 8:00 PM,IND.,2011-01-15 20:00:00
50,michigan,1/18/2011,REG,Northwestern,Big Ten,L,60,74,,11,8,L 5,Welsh-Ryan Arena,-,,Northwestern on January 18 8:00 PM,ILL.,2011-01-18 21:00:00
51,michigan,1/22/2011,REG,Minnesota (15),Big Ten,L,64,69,,11,9,L 6,Crisler Arena,-,,Minnesota on January 22 7:00 PM,MICH.,2011-01-22 19:00:00
52,michigan,1/27/2011,REG,Michigan State (25),Big Ten,W,61,57,,12,9,W 1,Breslin Events Center,-,,Michigan State on January 27 7:00 PM,MICH.,2011-01-27 19:00:00
53,michigan,1/30/2011,REG,Iowa,Big Ten,W,87,73,,13,9,W 2,Crisler Arena,-,,Iowa on January 30 4:00 PM,MICH.,2011-01-30 16:00:00
54,michigan,2/3/2011,REG,Ohio State (1),Big Ten,L,53,62,,13,10,L 1,Value City Arena,-,,Ohio State on February 3 7:00 PM,OHIO,2011-02-03 19:00:00
55,michigan,2/6/2011,REG,Penn State,Big Ten,W,65,62,,14,10,W 1,Bryce Jordan Center,-,,Penn State on February 6 12:00 PM,PA.,2011-02-06 12:00:00
56,michigan,2/9/2011,REG,Northwestern,Big Ten,W,75,66,,15,10,W 2,Crisler Arena,-,,Northwestern on February 9 6:30 PM,MICH.,2011-02-09 18:30:00
57,michigan,2/12/2011,REG,Indiana,Big Ten,W,73,69,,16,10,W 3,Crisler Arena,-,,Indiana on February 12 4:00 PM,MICH.,2011-02-12 16:00:00
58,michigan,2/16/2011,REG,Illinois,Big Ten,L,52,54,,16,11,L 1,Assembly Hall,-,,Illinois on February 16 7:30 PM,ILL.,2011-02-16 20:30:00
59,michigan,2/19/2011,REG,Iowa,Big Ten,W,75,72,OT,17,11,W 1,Carver-Hawkeye Arena,-,,Iowa on February 19 3:30 PM,IOWA,2011-02-19 16:30:00
60,michigan,2/23/2011,REG,Wisconsin (12),Big Ten,L,52,53,,17,12,L 1,Crisler Arena,-,,Wisconsin on February 23 6:30 PM,MICH.,2011-02-23 18:30:00
61,michigan,2/26/2011,REG,Minnesota,Big Ten,W,70,63,,18,12,W 1,Williams Arena,-,,Minnesota on February 26 3:30 PM,MINN.,2011-02-26 16:30:00
62,michigan,3/5/2011,REG,Michigan State,Big Ten,W,70,63,,19,12,W 2,Crisler Arena,-,,Michigan State on March 5 2:00 PM,MICH.,2011-03-05 14:00:00
63,michigan,3/11/2011,CTOURN,Illinois,Big Ten,W,60,55,,20,12,W 3,,-,,Illinois (#5) on March 11 2:30 PM,IND.,2011-03-11 14:30:00
64,michigan,3/12/2011,CTOURN,Ohio State (1),Big Ten,L,61,68,,20,13,L 1,,-,,Ohio State (#1) on March 12 1:40 PM,IND.,2011-03-12 13:40:00
65,michigan,3/18/2011,NCAA,Tennessee,SEC,W,75,45,,21,13,W 1,Times Warner Cable Arena,,,Tennessee (#9) on March 18 12:40 PM,N.C.,2011-03-18 12:40:00
66,michigan,3/20/2011,NCAA,Duke (3),ACC,L,71,73,,21,14,L 1,Times Warner Cable Arena,,,Duke (#1) on March 20 2:45 PM,N.C.,2011-03-20 14:45:00
67,michigan,11/11/2011,REG,Ferris State,,W,59,33,,1,0,W 1,Crisler Arena,18,,Ferris State on November 11 7:00 PM,MICH.,2011-11-11 19:00:00
68,michigan,11/14/2011,REG,Towson,CAA,W,64,47,,2,0,W 2,Crisler Arena,17,,Towson on November 14 8:30 PM,MICH.,2011-11-14 20:30:00
69,michigan,11/17/2011,REG,Western Illinois,Summit,W,59,55,,3,0,W 3,Crisler Arena,17,,Western Illinois on November 17 8:30 PM,MICH.,2011-11-17 20:30:00
70,michigan,11/21/2011,REG,Memphis (8),CUSA,W,73,61,,4,0,W 4,Lahaina Civic Center,15,,Memphis on November 21 10:00 AM,HAWAII,2011-11-21 16:00:00
71,michigan,11/22/2011,REG,Duke (6),ACC,L,75,82,,4,1,L 1,,15,,Duke on November 22 2:00 PM,HAWAII,2011-11-22 20:00:00
72,michigan,11/23/2011,REG,UCLA,Pac-12,W,79,63,,5,1,W 1,,15,,UCLA on November 23 2:30 PM,HAWAII,2011-11-23 20:30:00
73,michigan,11/29/2011,REG,Virginia,ACC,L,58,70,,5,2,L 1,John Paul Jones Arena,14,,Virginia on November 29 7:00 PM,VA.,2011-11-29 19:00:00
74,michigan,12/3/2011,REG,Iowa State,Big 12,W,76,66,,6,2,W 1,Crisler Arena,14,,Iowa State on December 3 12:00 PM,MICH.,2011-12-03 12:00:00
75,michigan,12/10/2011,REG,Oakland,Summit,W,90,80,,7,2,W 2,,20,,Oakland on December 10 4:00 PM,MICH.,2011-12-10 16:00:00
76,michigan,12/13/2011,REG,Arkansas-Pine Bluff,SWAC,W,63,50,,8,2,W 3,Crisler Arena,20,,Arkansas-Pine Bluff on December 13 7:00 PM,MICH.,2011-12-13 19:00:00
77,michigan,12/17/2011,REG,Alabama A&M,SWAC,W,87,57,,9,2,W 4,Crisler Arena,20,,Alabama A&M on December 17 12:00 PM,MICH.,2011-12-17 12:00:00
78,michigan,12/22/2011,REG,Bradley,MVC,W,77,66,,10,2,W 5,Crisler Arena,20,,Bradley on December 22 6:30 PM,MICH.,2011-12-22 18:30:00
79,michigan,12/29/2011,REG,Penn State,Big Ten,W,71,53,,11,2,W 6,Crisler Arena,18,,Penn State on December 29 7:30 PM,MICH.,2011-12-29 19:30:00
80,michigan,1/1/2012,REG,Minnesota,Big Ten,W,61,56,,12,2,W 7,Crisler Arena,18,,Minnesota on January 1 4:00 PM,MICH.,2012-01-01 16:00:00
81,michigan,1/5/2012,REG,Indiana (12),Big Ten,L,71,73,,12,3,L 1,Assembly Hall,16,,Indiana on January 5 9:00 PM,IND.,2012-01-05 21:00:00
82,michigan,1/8/2012,REG,Wisconsin (18),Big Ten,W,59,41,,13,3,W 1,Crisler Arena,16,,Wisconsin on January 8 1:30 PM,MICH.,2012-01-08 13:30:00
83,michigan,1/11/2012,REG,Northwestern,Big Ten,W,66,64,OT,14,3,W 2,Crisler Arena,13,,Northwestern on January 11 6:30 PM,MICH.,2012-01-11 18:30:00
84,michigan,1/14/2012,REG,Iowa,Big Ten,L,59,75,,14,4,L 1,Carver-Hawkeye Arena,13,,Iowa on January 14 12:00 PM,IOWA,2012-01-14 13:00:00
85,michigan,1/17/2012,REG,Michigan State (9),Big Ten,W,60,59,,15,4,W 1,Crisler Arena,20,,Michigan State on January 17 7:00 PM,MICH.,2012-01-17 19:00:00
86,michigan,1/21/2012,REG,Arkansas,SEC,L,64,66,,15,5,L 1,Bud Walton Arena,20,,Arkansas on January 21 1:00 PM,ARK.,2012-01-21 14:00:00
87,michigan,1/24/2012,REG,Purdue,Big Ten,W,66,64,,16,5,W 1,Mackey Arena,20,,Purdue on January 24 7:00 PM,IND.,2012-01-24 19:00:00
88,michigan,1/29/2012,REG,Ohio State (4),Big Ten,L,49,64,,16,6,L 1,Value City Arena,20,,Ohio State on January 29 1:00 PM,OHIO,2012-01-29 13:00:00
89,michigan,2/1/2012,REG,Indiana (20),Big Ten,W,68,56,,17,6,W 1,Crisler Arena,23,,Indiana on February 1 6:30 PM,MICH.,2012-02-01 18:30:00
90,michigan,2/5/2012,REG,Michigan State (9),Big Ten,L,54,64,,17,7,L 1,Breslin Events Center,23,,Michigan State on February 5 1:00 PM,MICH.,2012-02-05 13:00:00
91,michigan,2/8/2012,REG,Nebraska,Big Ten,W,62,46,,18,7,W 1,Bob Devaney Sports Center,22,,Nebraska on February 8 7:30 PM,NEB.,2012-02-08 20:30:00
92,michigan,2/12/2012,REG,Illinois,Big Ten,W,70,61,,19,7,W 2,Crisler Arena,22,,Illinois on February 12 1:00 PM,MICH.,2012-02-12 13:00:00
93,michigan,2/18/2012,REG,Ohio State (6),Big Ten,W,56,51,,20,7,W 3,Crisler Arena,17,,Ohio State on February 18 9:00 PM,MICH.,2012-02-18 21:00:00
94,michigan,2/21/2012,REG,Northwestern,Big Ten,W,67,55,OT,21,7,W 4,Welsh-Ryan Arena,11,,Northwestern on February 21 7:00 PM,ILL.,2012-02-21 20:00:00
95,michigan,2/25/2012,REG,Purdue,Big Ten,L,61,75,,21,8,L 1,Crisler Arena,11,,Purdue on February 25 6:00 PM,MICH.,2012-02-25 18:00:00
96,michigan,3/1/2012,REG,Illinois,Big Ten,W,72,61,,22,8,W 1,Assembly Hall,13,,Illinois on March 1 6:00 PM,ILL.,2012-03-01 19:00:00
97,michigan,3/4/2012,REG,Penn State,Big Ten,W,71,65,,23,8,W 2,Bryce Jordan Center,13,,Penn State on March 4 1:00 PM,PA.,2012-03-04 13:00:00
98,michigan,3/9/2012,CTOURN,Minnesota,Big Ten,W,73,69,OT,24,8,W 3,,10,,Minnesota (#10) on March 9 6:30 PM,IND.,2012-03-09 18:30:00
99,michigan,3/10/2012,CTOURN,Ohio State (7),Big Ten,L,55,77,,24,9,L 1,Conseco Fieldhouse,10,,Ohio State (#3) on March 10 4:05 PM,IND.,2012-03-10 16:05:00
100,michigan,3/16/2012,NCAA,Ohio,MAC,L,60,65,,24,10,L 2,Bridgestone Arena,,,Ohio (#13) on March 16 6:20 PM,TENN.,2012-03-16 18:20:00
101,michigan,11/9/2012,REG,Slippery Rock,,W,100,62,,1,0,W 1,Crisler Arena,5,,Slippery Rock on November 9 8:30 PM,MICH.,2012-11-09 20:30:00
102,michigan,11/12/2012,REG,IUPUI,Summit,W,91,54,,2,0,W 2,Crisler Arena,5,,IUPUI on November 12 9:00 PM,MICH.,2012-11-12 21:00:00
103,michigan,11/13/2012,REG,Cleveland State,Horizon,W,77,47,,3,0,W 3,Crisler Arena,5,,Cleveland State on November 13 8:00 PM,MICH.,2012-11-13 20:00:00
104,michigan,11/21/2012,REG,Pittsburgh,Big East,W,67,62,,4,0,W 4,,4,,Pittsburgh on November 21 9:30 PM,N.Y.,2012-11-21 21:30:00
105,michigan,11/23/2012,REG,Kansas State,Big 12,W,71,57,,5,0,W 5,Madison Square Garden (IV),4,,Kansas State on November 23 4:30 PM,N.Y.,2012-11-23 16:30:00
106,michigan,11/27/2012,REG,NC State (18),ACC,W,79,72,,6,0,W 6,Crisler Arena,3,,North Carolina State on November 27 7:30 PM,MICH.,2012-11-27 19:30:00
107,michigan,12/1/2012,REG,Bradley,MVC,W,74,66,,7,0,W 7,Carver Arena,3,,Bradley on December 1 3:00 PM,ILL.,2012-12-01 16:00:00
108,michigan,12/4/2012,REG,Western Michigan,MAC,W,73,41,,8,0,W 8,Crisler Arena,3,,Western Michigan on December 4 8:30 PM,MICH.,2012-12-04 20:30:00
109,michigan,12/8/2012,REG,Arkansas,SEC,W,80,67,,9,0,W 9,Crisler Arena,3,,Arkansas on December 8 12:00 PM,MICH.,2012-12-08 12:00:00
110,michigan,12/11/2012,REG,Binghamton,AEC,W,67,39,,10,0,W 10,Crisler Arena,3,,Binghamton on December 11 7:00 PM,MICH.,2012-12-11 19:00:00
111,michigan,12/15/2012,REG,West Virginia,Big 12,W,81,66,,11,0,W 11,WVU Coliseum,3,,West Virginia on December 15 8:00 PM,N.Y.,2012-12-15 20:00:00
112,michigan,12/20/2012,REG,Eastern Michigan,MAC,W,93,54,,12,0,W 12,Crisler Arena,2,,Eastern Michigan on December 20 8:30 PM,MICH.,2012-12-20 20:30:00
113,michigan,12/29/2012,REG,Central Michigan,MAC,W,88,73,,13,0,W 13,Crisler Arena,2,,Central Michigan on December 29 7:00 PM,MICH.,2012-12-29 19:00:00
114,michigan,1/3/2013,REG,Northwestern,Big Ten,W,94,66,,14,0,W 14,Welsh-Ryan Arena,2,,Northwestern on January 3 6:00 PM,ILL.,2013-01-03 19:00:00
115,michigan,1/6/2013,REG,Iowa,Big Ten,W,95,67,,15,0,W 15,Crisler Arena,2,,Iowa on January 6 12:00 PM,MICH.,2013-01-06 12:00:00
116,michigan,1/9/2013,REG,Nebraska,Big Ten,W,62,47,,16,0,W 16,Crisler Arena,2,,Nebraska on January 9 7:00 PM,MICH.,2013-01-09 19:00:00
117,michigan,1/13/2013,REG,Ohio State (15),Big Ten,L,53,56,,16,1,L 1,Value City Arena,2,,Ohio State on January 13 1:30 PM,OHIO,2013-01-13 13:30:00
118,michigan,1/17/2013,REG,Minnesota (9),Big Ten,W,83,75,,17,1,W 1,Williams Arena,5,,Minnesota on January 17 6:00 PM,MINN.,2013-01-17 19:00:00
119,michigan,1/24/2013,REG,Purdue,Big Ten,W,68,53,,18,1,W 2,Crisler Arena,2,,Purdue on January 24 7:00 PM,MICH.,2013-01-24 19:00:00
120,michigan,1/27/2013,REG,Illinois,Big Ten,W,74,60,,19,1,W 3,Assembly Hall,2,,Illinois on January 27 5:00 PM,ILL.,2013-01-27 18:00:00
121,michigan,1/30/2013,REG,Northwestern,Big Ten,W,68,46,,20,1,W 4,Crisler Arena,1,,Northwestern on January 30 6:30 PM,MICH.,2013-01-30 18:30:00
122,michigan,2/2/2013,REG,Indiana (3),Big Ten,L,73,81,,20,2,L 1,Assembly Hall,1,,Indiana on February 2 9:00 PM,IND.,2013-02-02 21:00:00
123,michigan,2/5/2013,REG,Ohio State (10),Big Ten,W,76,74,OT,21,2,W 1,Crisler Arena,3,,Ohio State on February 5 9:00 PM,MICH.,2013-02-05 21:00:00
124,michigan,2/9/2013,REG,Wisconsin,Big Ten,L,62,65,OT,21,3,L 1,Kohl Center,3,,Wisconsin on February 9 11:00 AM,WIS.,2013-02-09 12:00:00
125,michigan,2/12/2013,REG,Michigan State (8),Big Ten,L,52,75,,21,4,L 2,Breslin Events Center,4,,Michigan State on February 12 9:00 PM,MICH.,2013-02-12 21:00:00
126,michigan,2/17/2013,REG,Penn State,Big Ten,W,79,71,,22,4,W 1,Crisler Arena,4,,Penn State on February 17 12:00 PM,MICH.,2013-02-17 12:00:00
127,michigan,2/24/2013,REG,Illinois,Big Ten,W,71,58,,23,4,W 2,Crisler Arena,7,,Illinois on February 24 1:00 PM,MICH.,2013-02-24 13:00:00
128,michigan,2/27/2013,REG,Penn State,Big Ten,L,78,84,,23,5,L 1,Bryce Jordan Center,4,,Penn State on February 27 6:30 PM,PA.,2013-02-27 18:30:00
129,michigan,3/3/2013,REG,Michigan State (9),Big Ten,W,58,57,,24,5,W 1,Crisler Arena,4,,Michigan State on March 3 4:00 PM,MICH.,2013-03-03 16:00:00
130,michigan,3/6/2013,REG,Purdue,Big Ten,W,80,75,,25,5,W 2,Mackey Arena,7,,Purdue on March 6 7:00 PM,IND.,2013-03-06 19:00:00
131,michigan,3/10/2013,REG,Indiana (2),Big Ten,L,71,72,,25,6,L 1,Crisler Arena,7,,Indiana on March 10 4:00 PM,MICH.,2013-03-10 16:00:00
132,michigan,3/14/2013,CTOURN,Penn State,Big Ten,W,83,66,,26,6,W 1,,6,,Penn State (#12) on March 14 1:30 PM,ILL.,2013-03-14 14:30:00
133,michigan,3/15/2013,CTOURN,Wisconsin (22),Big Ten,L,59,68,,26,7,L 1,United Center,6,,Wisconsin (#4) on March 15 1:30 PM,ILL.,2013-03-15 14:30:00
134,michigan,3/21/2013,NCAA,South Dakota State,Summit,W,71,56,,27,7,W 1,Palace of Auburn Hills,,,South Dakota State (#13) on March 21 7:15 PM,MICH.,2013-03-21 19:15:00
135,michigan,3/23/2013,NCAA,Virginia Commonwealth,A-10,W,78,53,,28,7,W 2,Palace of Auburn Hills,,,VCU (#5) on March 23 12:15 PM,MICH.,2013-03-23 12:15:00
136,michigan,3/29/2013,NCAA,Kansas (3),Big 12,W,87,85,OT,29,7,W 3,Cowboy's Stadium,,,Kansas (#1) on March 29 6:37 PM,TEXAS,2013-03-29 19:37:00
137,michigan,3/31/2013,NCAA,Florida (14),SEC,W,79,59,,30,7,W 4,Cowboy's Stadium,,,Florida (#3) on March 31 1:20 PM,TEXAS,2013-03-31 14:20:00
138,michigan,4/6/2013,NCAA,Syracuse (16),Big East,W,61,56,,31,7,W 5,Georgia Dome,,,Syracuse (#4) on April 6 9:21 PM,GA.,2013-04-06 21:21:00
139,michigan,4/8/2013,NCAA,Louisville (2),Big East,L,76,82,,31,8,L 1,Georgia Dome,,,Louisville (#1) on April 8 9:23 PM,GA.,2013-04-08 21:23:00
140,michigan,11/8/2013,REG,Massachusetts-Lowell,AEC,W,69,42,,1,0,W 1,Crisler Arena,7,,UMass-Lowell on November 8 7:00 PM,MICH.,2013-11-08 19:00:00
141,michigan,11/12/2013,REG,South Carolina State,MEAC,W,93,59,,2,0,W 2,Crisler Arena,7,,South Carolina State on November 12 7:00 PM,MICH.,2013-11-12 19:00:00
142,michigan,11/17/2013,REG,Iowa State,Big 12,L,70,77,,2,1,L 1,James H. Hilton Coliseum ,7,,Iowa State on November 17 4:00 PM,IOWA,2013-11-17 17:00:00
143,michigan,11/21/2013,REG,Long Beach State,Big West,W,85,61,,3,1,W 1,Roberto Clemente Coliseum,15,,Long Beach State on November 21 6:00 PM,PUERTO RICO,2013-11-21 18:00:00
144,michigan,11/22/2013,REG,Florida State,ACC,W,82,80,OT,4,1,W 2,Roberto Clemente Coliseum,15,,Florida State on November 22 6:00 PM,PUERTO RICO,2013-11-22 18:00:00
145,michigan,11/24/2013,REG,Charlotte,CUSA,L,61,63,,4,2,L 1,Roberto Clemente Coliseum,15,,Charlotte on November 24 7:30 PM,PUERTO RICO,2013-11-24 19:30:00
146,michigan,11/29/2013,REG,Coppin State,MEAC,W,87,45,,5,2,W 1,Crisler Arena,22,,Coppin State on November 29 3:00 PM,MICH.,2013-11-29 15:00:00
147,michigan,12/3/2013,REG,Duke (10),ACC,L,69,79,,5,3,L 1,Cameron Indoor Stadium,22,,Duke on December 3 9:20 PM,N.C.,2013-12-03 21:20:00
148,michigan,12/7/2013,REG,Houston Baptist,Southland,W,107,53,,6,3,W 1,Crisler Arena,22,,Houston Baptist on December 7 12:00 PM,MICH.,2013-12-07 12:00:00
149,michigan,12/14/2013,REG,Arizona (1),Pac-12,L,70,72,,6,4,L 1,Crisler Arena,-,,Arizona on December 14 12:00 PM,MICH.,2013-12-14 12:00:00
150,michigan,12/21/2013,REG,Stanford,Pac-12,W,68,65,,7,4,W 1,Barclays Center,-,,Stanford on December 21 8:30 PM,N.Y.,2013-12-21 20:30:00
151,michigan,12/28/2013,REG,Holy Cross,Patriot,W,88,66,,8,4,W 2,Crisler Arena,-,,Holy Cross on December 28 6:30 PM,MICH.,2013-12-28 18:30:00
152,michigan,1/2/2014,REG,Minnesota,Big Ten,W,63,60,,9,4,W 3,Williams Arena,-,,Minnesota on January 2 6:00 PM,MINN.,2014-01-02 19:00:00
153,michigan,1/5/2014,REG,Northwestern,Big Ten,W,74,51,,10,4,W 4,Crisler Arena,-,,Northwestern on January 5 12:00 PM,MICH.,2014-01-05 12:00:00
154,michigan,1/9/2014,REG,Nebraska,Big Ten,W,71,70,,11,4,W 5,Pinnacle Bank Arena,-,,Nebraska on January 9 8:00 PM,NEB.,2014-01-09 21:00:00
155,michigan,1/14/2014,REG,Penn State,Big Ten,W,80,67,,12,4,W 6,Crisler Arena,-,,Penn State on January 14 8:00 PM,MICH.,2014-01-14 20:00:00
156,michigan,1/18/2014,REG,Wisconsin (3),Big Ten,W,77,70,,13,4,W 7,Kohl Center,-,,Wisconsin on January 18 5:00 PM,WIS.,2014-01-18 18:00:00
157,michigan,1/22/2014,REG,Iowa (10),Big Ten,W,75,67,,14,4,W 8,Crisler Arena,21,,Iowa on January 22 7:00 PM,MICH.,2014-01-22 19:00:00
158,michigan,1/25/2014,REG,Michigan State (3),Big Ten,W,80,75,,15,4,W 9,Breslin Events Center,21,,Michigan State on January 25 7:00 PM,MICH.,2014-01-25 19:00:00
159,michigan,1/30/2014,REG,Purdue,Big Ten,W,75,66,,16,4,W 10,Crisler Arena,10,,Purdue on January 30 9:00 PM,MICH.,2014-01-30 21:00:00
160,michigan,2/2/2014,REG,Indiana,Big Ten,L,52,63,,16,5,L 1,Assembly Hall,10,,Indiana on February 2 1:00 PM,IND.,2014-02-02 13:00:00
161,michigan,2/5/2014,REG,Nebraska,Big Ten,W,79,50,,17,5,W 1,Crisler Arena,10,,Nebraska on February 5 6:30 PM,MICH.,2014-02-05 18:30:00
162,michigan,2/8/2014,REG,Iowa (17),Big Ten,L,67,85,,17,6,L 1,Carver-Hawkeye Arena,10,,Iowa on February 8 1:00 PM,IOWA,2014-02-08 14:00:00
163,michigan,2/11/2014,REG,Ohio State (22),Big Ten,W,70,60,,18,6,W 1,Value City Arena,15,,Ohio State on February 11 9:00 PM,OHIO,2014-02-11 21:00:00
164,michigan,2/16/2014,REG,Wisconsin (21),Big Ten,L,62,75,,18,7,L 1,Crisler Arena,15,,Wisconsin on February 16 1:00 PM,MICH.,2014-02-16 13:00:00
165,michigan,2/23/2014,REG,Michigan State (13),Big Ten,W,79,70,,19,7,W 1,Crisler Arena,20,,Michigan State on February 23 12:00 PM,MICH.,2014-02-23 12:00:00
166,michigan,2/26/2014,REG,Purdue,Big Ten,W,77,76,OT,20,7,W 2,Mackey Arena,16,,Purdue on February 26 7:00 PM,IND.,2014-02-26 19:00:00
167,michigan,3/1/2014,REG,Minnesota,Big Ten,W,66,56,,21,7,W 3,Crisler Arena,16,,Minnesota on March 1 6:00 PM,MICH.,2014-03-01 18:00:00
168,michigan,3/4/2014,REG,Illinois,Big Ten,W,84,53,,22,7,W 4,Assembly Hall,12,,Illinois on March 4 6:00 PM,ILL.,2014-03-04 19:00:00
169,michigan,3/8/2014,REG,Indiana,Big Ten,W,84,80,,23,7,W 5,Crisler Arena,12,,Indiana on March 8 6:00 PM,MICH.,2014-03-08 18:00:00
170,michigan,3/14/2014,CTOURN,Illinois,Big Ten,W,64,63,,24,7,W 6,Conseco Fieldhouse,8,,Illinois (#9) on March 14 12:00 PM,IND.,2014-03-14 12:00:00
171,michigan,3/15/2014,CTOURN,Ohio State (24),Big Ten,W,72,69,,25,7,W 7,,8,,Ohio State (#5) on March 15 1:40 PM,IND.,2014-03-15 13:40:00
172,michigan,3/16/2014,CTOURN,Michigan State (22),Big Ten,L,55,69,,25,8,L 1,Conseco Fieldhouse,8,,Michigan State (#3) on March 16 3:30 PM,IND.,2014-03-16 15:30:00
173,michigan,3/20/2014,NCAA,Wofford,Southern,W,57,40,,26,8,W 1,Bradley Center,,,Wofford (#15) on March 20 6:10 PM,WIS.,2014-03-20 19:10:00
174,michigan,3/22/2014,NCAA,Texas,Big 12,W,79,65,,27,8,W 2,Bradley Center,,,Texas (#7) on March 22 4:15 PM,WIS.,2014-03-22 17:15:00
175,michigan,3/28/2014,NCAA,Tennessee,SEC,W,73,71,,28,8,W 3,Lucas Oil Stadium,,,Tennessee (#11) on March 28 7:15 PM,IND.,2014-03-28 19:15:00
176,michigan,3/30/2014,NCAA,Kentucky,SEC,L,72,75,,28,9,L 1,Lucas Oil Stadium,,,Kentucky (#8) on March 30 5:05 PM,IND.,2014-03-30 17:05:00
177,michigan,11/15/2014,REG,Hillsdale,,W,92,68,,1,0,W 1,Crisler Arena,24,2:00p,Hillsdale College on November 15 2:00 PM,MICH.,2014-11-15 14:00:00
178,michigan,11/17/2014,REG,Bucknell,Patriot,W,77,53,,2,0,W 2,Crisler Arena,24,8:00p,Bucknell on November 17 8:00 PM,MICH.,2014-11-17 20:00:00
179,michigan,11/20/2014,REG,Detroit Mercy,Horizon,W,71,62,,3,0,W 3,Crisler Arena,24,6:00p,Detroit on November 20 6:00 PM,MICH.,2014-11-20 18:00:00
180,michigan,11/24/2014,REG,Oregon,Pac-12,W,70,63,,4,0,W 4,Barclays Center,19,9:45p,Oregon on November 24 9:00 PM,N.Y.,2014-11-24 21:00:00
181,michigan,11/25/2014,REG,Villanova (12),Big East,L,55,60,,4,1,L 1,Barclays Center,19,10:15p,Villanova on November 25 10:00 PM,N.Y.,2014-11-25 22:00:00
182,michigan,11/29/2014,REG,Nicholls State,Southland,W,91,62,,5,1,W 1,Crisler Arena,19,4:00p,Nicholls State on November 29 4:00 PM,MICH.,2014-11-29 16:00:00
183,michigan,12/2/2014,REG,Syracuse,ACC,W,68,65,,6,1,W 2,Crisler Arena,17,7:30p,Syracuse on December 2 7:30 PM,MICH.,2014-12-02 19:30:00
184,michigan,12/6/2014,REG,NJIT,Ind,L,70,72,,6,2,L 1,Crisler Arena,17,12:00p,NJIT on December 6 12:00 PM,MICH.,2014-12-06 12:00:00
185,michigan,12/9/2014,REG,Eastern Michigan,MAC,L,42,45,,6,3,L 2,Crisler Arena,-,9:00p,Eastern Michigan on December 9 9:00 PM,MICH.,2014-12-09 21:00:00
186,michigan,12/13/2014,REG,Arizona (3),Pac-12,L,53,80,,6,4,L 3,McKale Center,-,5:15p,Arizona on December 13 3:25 PM,ARIZ.,2014-12-13 17:25:00
187,michigan,12/20/2014,REG,Southern Methodist,AAC,L,51,62,,6,5,L 4,Crisler Arena,-,12:00p,SMU on December 20 12:00 PM,MICH.,2014-12-20 12:00:00
188,michigan,12/22/2014,REG,Coppin State,MEAC,W,72,56,,7,5,W 1,Crisler Arena,-,8:00p,Coppin State on December 22 8:00 PM,MICH.,2014-12-22 20:00:00
189,michigan,12/30/2014,REG,Illinois,Big Ten,W,73,65,OT,8,5,W 2,Crisler Arena,-,3:00p,Illinois on December 30 3:00 PM,MICH.,2014-12-30 15:00:00
190,michigan,1/3/2015,REG,Purdue,Big Ten,L,51,64,,8,6,L 1,Mackey Arena,-,2:15p,Purdue on January 3 2:15 PM,IND.,2015-01-03 14:15:00
191,michigan,1/6/2015,REG,Penn State,Big Ten,W,73,64,,9,6,W 1,Bryce Jordan Center,-,7:00p,Penn State on January 6 7:00 PM,PA.,2015-01-06 19:00:00
192,michigan,1/10/2015,REG,Minnesota,Big Ten,W,62,57,,10,6,W 2,Crisler Arena,-,1:00p,Minnesota on January 10 1:00 PM,MICH.,2015-01-10 13:00:00
193,michigan,1/13/2015,REG,Ohio State,Big Ten,L,52,71,,10,7,L 1,Value City Arena,-,7:00p,Ohio State on January 13 7:00 PM,OHIO,2015-01-13 19:00:00
194,michigan,1/17/2015,REG,Northwestern,Big Ten,W,56,54,,11,7,W 1,Crisler Arena,-,8:15p,Northwestern on January 17 8:15 PM,MICH.,2015-01-17 20:15:00
195,michigan,1/20/2015,REG,Rutgers,Big Ten,W,54,50,,12,7,W 2,Louis Brown Athletic Center,-,6:30p,Rutgers on January 20 6:30 PM,N.J.,2015-01-20 18:30:00
196,michigan,1/24/2015,REG,Wisconsin (6),Big Ten,L,64,69,OT,12,8,L 1,Crisler Arena,-,7:00p,Wisconsin on January 24 7:00 PM,MICH.,2015-01-24 19:00:00
197,michigan,1/27/2015,REG,Nebraska,Big Ten,W,58,44,,13,8,W 1,Crisler Arena,-,7:00p,Nebraska on January 27 7:00 PM,MICH.,2015-01-27 19:00:00
198,michigan,2/1/2015,REG,Michigan State,Big Ten,L,66,76,OT,13,9,L 1,Breslin Events Center,-,1:00p,Michigan State on February 1 1:00 PM,MICH.,2015-02-01 13:00:00
