INCIDENT_DATE,INCIDENT_HOUR,INCIDENT_ID,NAME,AGENCY_ID,Day
2013-09-05,17.0,69061767,Burglary/Breaking & Entering,9040,Thursday
2013-09-11,8.0,69061793,Simple Assault,9040,Wednesday
2013-10-06,0.0,69062703,False Pretenses/Swindle/Confidence Game,9040,Sunday
2013-01-27,11.0,69056334,Destruction/Damage/Vandalism of Property,9040,Sunday
2013-02-22,13.0,69057201,Theft From Building,9040,Friday
2013-02-28,17.0,69057233,Theft From Building,9040,Thursday
2013-03-24,21.0,69058105,Theft From Building,9040,Sunday
2013-04-24,18.0,69059048,Theft From Building,9040,Wednesday
2013-05-07,13.0,69059884,Destruction/Damage/Vandalism of Property,9040,Tuesday
2013-05-31,0.0,69059946,Theft From Building,9040,Friday
2013-06-17,18.0,69059955,Drug/Narcotic Violations,9040,Monday
2013-08-29,6.0,69061734,Theft From Motor Vehicle,9040,Thursday
2013-09-29,11.0,69062658,Theft From Building,9040,Sunday
2013-12-11,15.0,69064447,Theft From Building,9040,Wednesday
2013-03-01,0.0,69059005,Destruction/Damage/Vandalism of Property,9040,Friday
2013-04-12,18.0,69058996,Theft From Building,9040,Friday
2013-11-22,18.0,69063617,Theft From Building,9040,Friday
2013-11-27,10.0,69064423,All Other Larceny,9040,Wednesday
2013-12-20,5.0,69064465,Simple Assault,9040,Friday
2013-01-22,10.0,69056317,Theft From Building,9040,Tuesday
2013-04-06,20.0,69058962,Theft From Building,9040,Saturday
2013-08-01,17.0,69060878,Theft From Building,9040,Thursday
2013-11-11,12.0,69063575,Theft From Building,9040,Monday
2013-11-05,0.0,69064500,Theft From Building,9040,Tuesday
2013-04-01,18.0,69058138,Theft From Building,9040,Monday
2013-04-10,15.0,69058993,Theft From Building,9040,Wednesday
2013-05-22,15.0,69059926,Theft From Building,9040,Wednesday
2013-05-21,12.0,69059947,Theft From Motor Vehicle,9040,Tuesday
2013-05-29,13.0,69059923,Destruction/Damage/Vandalism of Property,9040,Wednesday
2013-09-07,19.0,69061776,Simple Assault,9040,Saturday
2013-09-08,23.0,69061782,All Other Larceny,9040,Sunday
2013-10-20,10.0,69063511,Simple Assault,9040,Sunday
2013-11-25,1.0,69063613,Theft From Building,9040,Monday
2013-10-01,10.0,69062666,Destruction/Damage/Vandalism of Property,9040,Tuesday
2013-11-13,16.0,69063581,Theft From Building,9040,Wednesday
2013-12-12,22.0,69064455,Theft From Building,9040,Thursday
2013-12-24,17.0,69064489,Destruction/Damage/Vandalism of Property,9040,Tuesday
2013-02-25,11.0,69057215,Theft From Building,9040,Monday
2013-02-02,9.0,69057137,Destruction/Damage/Vandalism of Property,9040,Saturday
2013-08-01,7.0,69060868,Counterfeiting/Forgery,9040,Thursday
2013-11-26,18.0,69063623,Theft From Building,9040,Tuesday
2013-01-06,11.0,69056252,Destruction/Damage/Vandalism of Property,9040,Sunday
2013-02-19,14.0,69057190,Theft From Building,9040,Tuesday
2013-09-18,0.0,69062602,False Pretenses/Swindle/Confidence Game,9040,Wednesday
2013-02-23,22.0,69057210,Drug/Narcotic Violations,9040,Saturday
2013-03-28,13.0,69058137,Theft From Building,9040,Thursday
2013-04-04,10.0,69058154,Theft From Building,9040,Thursday
2013-04-10,15.0,69058980,Theft From Building,9040,Wednesday
2013-12-13,3.0,69064448,Fondling,9040,Friday
2013-12-13,3.0,69064448,All Other Larceny,9040,Friday
2013-01-28,17.0,69057153,Intimidation,9040,Monday
2013-04-22,16.0,69059859,Theft From Building,9040,Monday
2013-05-01,17.0,69062665,Theft From Building,9040,Wednesday
2013-06-25,23.0,69059981,Destruction/Damage/Vandalism of Property,9040,Tuesday
2013-09-15,14.0,69062588,Simple Assault,9040,Sunday
2013-07-27,21.0,69060861,Destruction/Damage/Vandalism of Property,9040,Saturday
2013-10-10,21.0,69063495,Theft From Building,9040,Thursday
2013-11-30,17.0,69064412,Theft From Building,9040,Saturday
2013-01-04,17.0,69056255,Destruction/Damage/Vandalism of Property,9040,Friday
2013-01-25,17.0,69056332,All Other Larceny,9040,Friday
2013-03-29,21.0,69058127,Weapon Law Violations,9040,Friday
2013-03-31,2.0,69058131,Drug/Narcotic Violations,9040,Sunday
2013-09-17,19.0,69062606,Stolen Property Offenses,9040,Tuesday
2013-11-09,16.0,69063573,Aggravated Assault,9040,Saturday
2013-11-26,9.0,69063624,Theft From Building,9040,Tuesday
2013-12-11,19.0,69064442,Theft From Motor Vehicle,9040,Wednesday
2013-03-18,14.0,69058079,Theft From Building,9040,Monday
2013-06-04,16.0,69059935,Destruction/Damage/Vandalism of Property,9040,Tuesday
2013-03-01,20.0,69058033,Burglary/Breaking & Entering,9040,Friday
2013-03-21,11.0,69058088,Simple Assault,9040,Thursday
2013-03-22,15.0,69058093,Intimidation,9040,Friday
2013-05-02,15.0,69059882,Theft From Building,9040,Thursday
2013-06-21,11.0,69059968,Drug/Narcotic Violations,9040,Friday
2013-07-18,8.0,69060817,Theft From Building,9040,Thursday
2013-07-18,8.0,69060817,Credit Card/Automated Teller Machine Fraud,9040,Thursday
2013-07-04,16.0,69060792,Theft From Building,9040,Thursday
2013-09-24,12.0,69062637,Theft From Building,9040,Tuesday
2013-10-03,3.0,69062663,Simple Assault,9040,Thursday
2013-01-16,12.0,69056288,All Other Larceny,9040,Wednesday
2013-03-09,22.0,69058043,Drug/Narcotic Violations,9040,Saturday
2013-04-28,14.0,69059061,Shoplifting,9040,Sunday
2013-04-11,18.0,69058988,Shoplifting,9040,Thursday
2013-07-12,22.0,69060805,Destruction/Damage/Vandalism of Property,9040,Friday
2013-09-29,12.0,69062648,Simple Assault,9040,Sunday
2013-10-29,20.0,69063538,Theft From Building,9040,Tuesday
2013-10-05,1.0,69062670,Drug/Narcotic Violations,9040,Saturday
2013-11-08,11.0,69063577,Theft From Building,9040,Friday
2013-11-01,0.0,69064494,Theft From Building,9040,Friday
2013-01-21,18.0,69056311,Theft From Building,9040,Monday
2013-01-15,8.0,69056337,Theft From Building,9040,Tuesday
2013-02-01,0.0,69057134,Theft From Building,9040,Friday
2013-03-22,20.0,69058097,Theft From Building,9040,Friday
2013-07-20,18.0,69060827,Theft From Building,9040,Saturday
2013-12-01,17.0,69064413,Drug/Narcotic Violations,9040,Sunday
2013-12-07,1.0,69064432,Robbery,9040,Saturday
