,Unnamed: 0,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,Start time,US State,Attendance
74,77,michigan,2011-12-03,REG,Iowa State,Big 12,W,76,66,,6,2,W 1,Crisler Arena,14,,Iowa State on December 3 12:00 PM,12:00 PM,MICH.,10845
75,78,michigan,2011-12-10,REG,Oakland,Summit,W,90,80,,7,2,W 2,,20,,Oakland on December 10 4:00 PM,4:00 PM,MICH.,17118
76,79,michigan,2011-12-13,REG,Arkansas-Pine Bluff,SWAC,W,63,50,,8,2,W 3,Crisler Arena,20,,Arkansas-Pine Bluff on December 13 7:00 PM,7:00 PM,MICH.,9005
77,80,michigan,2011-12-17,REG,Alabama A&M,SWAC,W,87,57,,9,2,W 4,Crisler Arena,20,,Alabama A&M on December 17 12:00 PM,12:00 PM,MICH.,10497
78,81,michigan,2011-12-22,REG,Bradley,MVC,W,77,66,,10,2,W 5,Crisler Arena,20,,Bradley on December 22 6:30 PM,6:30 PM,MICH.,11298
79,82,michigan,2011-12-29,REG,Penn State,Big Ten,W,71,53,,11,2,W 6,Crisler Arena,18,,Penn State on December 29 7:30 PM,7:30 PM,MICH.,12721
80,83,michigan,2012-01-01,REG,Minnesota,Big Ten,W,61,56,,12,2,W 7,Crisler Arena,18,,Minnesota on January 1 4:00 PM,4:00 PM,MICH.,12721
81,84,michigan,2012-01-05,REG,Indiana (12),Big Ten,L,71,73,,12,3,L 1,Assembly Hall,16,,Indiana on January 5 9:00 PM,9:00 PM,IND.,16020
82,85,michigan,2012-01-08,REG,Wisconsin (18),Big Ten,W,59,41,,13,3,W 1,Crisler Arena,16,,Wisconsin on January 8 1:30 PM,1:30 PM,MICH.,12721
83,86,michigan,2012-01-11,REG,Northwestern,Big Ten,W,66,64,OT,14,3,W 2,Crisler Arena,13,,Northwestern on January 11 6:30 PM,6:30 PM,MICH.,12605
84,87,michigan,2012-01-14,REG,Iowa,Big Ten,L,59,75,,14,4,L 1,Carver-Hawkeye Arena,13,,Iowa on January 14 12:00 PM,12:00 PM,IOWA,12366
85,88,michigan,2012-01-17,REG,Michigan State (9),Big Ten,W,60,59,,15,4,W 1,Crisler Arena,20,,Michigan State on January 17 7:00 PM,7:00 PM,MICH.,12721
